"geo","name","time","Population"
"","Level 1","1800","960394684"
"","Level 1","1801","963569642"
"","Level 1","1802","966781862"
"","Level 1","1803","970031615"
"","Level 1","1804","954089613"
"","Level 1","1805","976644914"
"","Level 1","1806","960663691"
"","Level 1","1807","963842611"
"","Level 1","1808","967226531"
"","Level 1","1809","970649933"
"","Level 1","1810","994882586"
"","Level 1","1811","999634097"
"","Level 1","1812","1004865549"
"","Level 1","1813","1010582173"
"","Level 1","1814","996598308"
"","Level 1","1815","1019090065"
"","Level 1","1816","1025137387"
"","Level 1","1817","1031303487"
"","Level 1","1818","1016395641"
"","Level 1","1819","1022614889"
"","Level 1","1820","1028832855"
"","Level 1","1821","1034811629"
"","Level 1","1822","1040759753"
"","Level 1","1823","1047145936"
"","Level 1","1824","1053676756"
"","Level 1","1825","1060298595"
"","Level 1","1826","1067057157"
"","Level 1","1827","1073906108"
"","Level 1","1828","1080846595"
"","Level 1","1829","1087340757"
"","Level 1","1830","1093385148"
"","Level 1","1831","1097742198"
"","Level 1","1832","1102276715"
"","Level 1","1833","1077900199"
"","Level 1","1834","1082205257"
"","Level 1","1835","1086553733"
"","Level 1","1836","1090946357"
"","Level 1","1837","1094992981"
"","Level 1","1838","1097140299"
"","Level 1","1839","1104308658"
"","Level 1","1840","1073399110"
"","Level 1","1841","1078042721"
"","Level 1","1842","1082233905"
"","Level 1","1843","1085928977"
"","Level 1","1844","1090134837"
"","Level 1","1845","1094400124"
"","Level 1","1846","1096589426"
"","Level 1","1847","1124888132"
"","Level 1","1848","1105257562"
"","Level 1","1849","1108809247"
"","Level 1","1850","1111553106"
"","Level 1","1851","1112782601"
"","Level 1","1852","1138053323"
"","Level 1","1853","1137913927"
"","Level 1","1854","1137851130"
"","Level 1","1855","1137755964"
"","Level 1","1856","1137842609"
"","Level 1","1857","1132028964"
"","Level 1","1858","1106619198"
"","Level 1","1859","1132965830"
"","Level 1","1860","1137096271"
"","Level 1","1861","1137243220"
"","Level 1","1862","1112561672"
"","Level 1","1863","1115339459"
"","Level 1","1864","1119813505"
"","Level 1","1865","1121811111"
"","Level 1","1866","1148347974"
"","Level 1","1867","1123378714"
"","Level 1","1868","1125511977"
"","Level 1","1869","1127038178"
"","Level 1","1870","1124873569"
"","Level 1","1871","1124137997"
"","Level 1","1872","1156106874"
