Country,Income inequality,Trust,Life expectancy,Infant mortality,Obesity,Mental illness,Maths and literacy scores,Teenage births,Homicides,Imprisonment (log),Social mobility,Index of health & social_problems,Child overweight,Drugs index,Calorie intake,Public health expenditure,Child wellbeing,Maths/education/science score,Child conflict,Foreign aid,Recycling,Peace index,Maternity leave,Advertising,Police,Social expenditure,Women's_status,Lone parents
Australia,7.00,39.90,79.20,4.90,18.35,23.00,524.50,18.40,16.90,4.61,,0.07,,1.71,3142.00,67.90,-0.21,524.67,,0.25,7.40,1.66,0.00,1.24,304.00,17.80,0.46,21.00
Austria,4.82,33.90,78.50,4.80,14.50,,498.50,14.00,11.60,4.52,,0.01,11.90,-0.02,3753.00,69.30,-0.07,496.00,0.31,0.52,,1.48,16.00,0.97,305.00,27.50,-0.81,15.00
Belgium,4.60,30.70,78.80,5.00,13.50,12.00,518.00,9.90,13.00,4.28,,-0.23,10.40,-0.18,3632.00,71.70,0.05,515.00,0.33,0.53,,1.49,15.00,0.82,357.00,26.50,0.61,12.00
Canada,5.63,38.80,79.30,5.30,12.75,19.90,530.00,20.20,17.30,4.77,0.14,-0.07,19.50,0.61,3167.00,70.80,0.04,526.33,0.24,0.34,,1.48,17.00,0.77,186.00,17.20,0.56,17.00
Denmark,4.30,66.50,76.60,5.30,15.00,,503.00,8.10,12.70,4.17,0.14,-0.19,10.30,-0.09,3405.00,82.40,0.21,493.67,-0.14,0.81,,1.38,18.00,0.75,192.00,27.60,0.83,22.00
Finland,3.72,58.00,78.00,3.70,19.50,,543.50,9.20,28.20,4.11,0.15,-0.43,13.30,-0.88,3197.00,75.60,0.34,545.00,-1.25,0.47,,1.45,18.00,0.90,160.00,25.80,1.08,19.00
France,5.60,22.20,79.00,4.40,14.50,18.40,503.50,9.30,21.50,4.50,,0.05,11.20,-0.35,3576.00,76.00,-0.17,506.00,0.59,0.47,6.00,1.73,16.00,0.71,,29.00,-0.17,12.00
Germany,5.20,34.80,78.30,4.40,19.00,9.10,497.00,13.10,13.70,4.51,0.17,-0.06,11.30,-0.30,3395.00,74.90,-0.01,498.67,-0.70,0.35,3.40,1.52,14.00,0.99,303.00,27.30,-0.21,21.00
Greece,6.20,23.70,78.30,5.00,28.50,,458.50,11.80,13.90,3.33,,0.38,16.00,-0.99,3687.00,56.00,-0.04,466.00,0.40,0.24,,1.79,17.00,1.04,,19.90,-0.85,3.00
Ireland,6.05,35.20,77.00,5.90,18.00,,509.00,18.70,8.60,4.17,,0.25,12.10,-0.03,3656.00,76.00,-0.04,507.67,-0.06,0.41,,1.40,18.00,1.00,,15.80,-0.21,14.00
Israel,6.78,23.50,79.20,5.50,,,442.50,,25.40,5.18,,,11.30,-0.17,,69.20,-0.56,439.60,0.43,,,3.03,,1.08,,,-0.24,8.00
Italy,6.65,32.60,78.70,4.60,9.70,8.20,471.00,6.60,19.90,4.42,,-0.12,15.20,0.50,3637.00,75.30,0.04,476.00,0.27,0.29,7.40,1.72,20.00,0.70,559.00,24.40,-1.42,10.00
Japan,3.40,43.10,81.60,3.20,2.40,8.80,516.00,4.60,5.20,3.69,,-1.26,,-1.27,2767.00,77.90,-0.24,526.67,,0.28,2.60,1.41,14.00,0.81,182.00,18.10,-0.66,8.00
Netherlands,5.30,59.80,78.30,4.60,11.00,14.90,525.50,6.20,14.50,4.22,,-0.51,7.60,-0.12,3230.00,63.30,0.43,525.00,-0.35,0.82,,1.62,16.00,0.98,212.00,21.20,0.28,13.00
New Zealand,6.80,49.10,78.30,6.00,16.50,20.70,522.50,29.80,12.30,4.97,,0.29,,1.03,3242.00,76.80,-0.68,522.00,,0.27,,1.36,12.00,1.34,182.00,18.20,0.36,29.00
Norway,3.85,65.30,78.90,3.80,11.50,,497.50,12.40,9.70,3.95,0.14,-0.63,11.80,-0.30,3391.00,85.50,0.26,493.00,-0.23,0.93,,1.36,52.00,0.70,,24.50,1.11,19.00
Portugal,8.00,10.00,76.20,6.00,17.50,,472.00,21.20,34.60,4.80,,1.18,14.30,-0.44,3710.00,69.00,-0.09,470.67,0.16,0.21,7.60,1.48,6.00,1.17,450.00,22.90,-0.64,13.00
Singapore,9.70,16.90,78.10,2.90,,,,,15.50,5.71,,,,,,33.50,,,,,,1.69,,0.94,,,-0.86,
Spain,5.55,36.20,79.30,4.10,12.00,9.20,483.00,7.90,8.10,4.74,,-0.30,16.90,0.48,3360.00,71.40,0.20,484.33,0.23,0.29,8.40,1.63,16.00,0.90,,21.00,-0.10,9.00
Sweden,3.95,66.30,80.10,3.20,11.00,,511.50,6.50,18.70,4.16,0.14,-0.83,10.40,-1.05,3138.00,85.20,0.51,509.67,-1.17,0.92,2.60,1.48,72.00,0.82,181.00,30.30,1.47,18.00
Switzerland,5.73,41.00,79.10,4.90,5.50,,513.00,5.50,12.70,4.42,,-0.46,8.50,0.19,3268.00,57.10,0.25,513.00,-0.49,0.44,3.40,1.53,16.00,1.07,204.00,20.30,-0.41,
UK,7.17,29.80,78.20,5.60,22.25,23.00,,30.80,15.00,4.82,0.27,0.79,15.80,1.02,3336.00,82.20,-0.84,,1.39,0.48,8.80,1.90,18.00,1.32,258.00,20.50,-0.17,29.00
USA,8.55,35.80,77.10,6.90,30.85,26.40,489.00,52.10,64.00,6.36,0.29,2.02,25.10,0.98,3747.00,44.40,-0.50,489.67,0.46,0.22,8.40,2.32,0.00,1.33,326.00,16.20,-0.04,29.00
